CrashName,TimeStamp,Weather,RoadwaySurface,RoadwayCondition,Lighting
CR-0000089828,2/19/22,Clear,Dry,No Unusual Conditions,Dark - No Street Light
CR-0000090339,4/7/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000090341,4/16/22,Rain,Wet,No Unusual Conditions,Dark - Street Light
CR-0000090539,3/2/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000090540,5/4/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091018,2/26/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091019,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091020,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091021,2/27/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085219,1/1/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085220,1/1/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085222,1/1/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085225,1/2/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085228,1/3/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085218,1/1/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085223,1/2/21,Cloudy,Wet,No Unusual Conditions,Daylight
CR-0000085229,1/3/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085232,1/3/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085233,1/3/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085235,1/3/21,Cloudy,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085240,1/3/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000091022,2/27/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091023,3/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091024,3/21/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091030,3/2/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091032,3/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091039,2/22/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091041,3/14/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091044,3/18/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091045,3/18/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091046,3/19/22,Rain,Wet,No Unusual Conditions,Daylight
CR-0000091047,3/20/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091048,3/22/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085245,1/4/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085247,1/4/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085248,1/4/21,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000085254,1/5/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085230,1/3/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085231,1/3/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085237,1/3/21,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000085242,1/4/21,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000085243,1/4/21,Rain,Wet,No Unusual Conditions,Daylight
CR-0000085246,1/4/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085249,1/5/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085236,1/3/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091049,3/25/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085238,1/3/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085239,1/3/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085244,1/4/21,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000085250,1/5/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085251,1/5/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085257,1/5/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085260,1/6/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085224,1/2/21,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000085270,1/7/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085271,1/8/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085272,1/9/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085273,1/9/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085234,1/3/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091082,2/28/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091083,3/4/22,Clear,Dry,No Unusual Conditions,Dark - No Street Light
CR-0000091084,2/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091086,2/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091087,2/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085252,1/5/21,Clear,Dry,No Unusual Conditions,Dark - No Street Light
CR-0000085253,1/5/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085255,1/5/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085258,1/5/21,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000085259,1/6/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085262,1/6/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085263,1/6/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085256,1/5/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085265,1/7/21,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000085267,1/7/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085268,1/7/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085269,1/7/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085261,1/6/21,Cloudy,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091085,3/12/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091088,2/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091089,3/12/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091090,3/12/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091091,3/13/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091092,3/13/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091093,3/13/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091094,3/13/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091095,3/14/22,Clear,Wet,No Unusual Conditions,Daylight
CR-0000091096,3/14/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091097,2/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091098,2/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091099,2/28/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085412,1/10/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085419,1/7/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085421,1/7/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085425,1/8/21,Rain,Wet,No Unusual Conditions,Dark - Street Light
CR-0000085417,1/2/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085422,1/8/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085427,1/8/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085415,1/1/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085416,1/1/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085420,1/7/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085424,1/8/21,Clear,Dry,Holes Deep Rut,Daylight
CR-0000085426,1/8/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091100,3/14/22,Cloudy,Dry,No Unusual Conditions,Daylight
CR-0000091101,2/28/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091103,2/28/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091105,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091106,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091104,3/15/22,Rain,Wet,No Unusual Conditions,Daylight
CR-0000091107,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091108,3/15/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091109,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091111,3/15/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091112,2/26/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091110,2/26/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091113,3/15/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091115,2/26/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091114,3/15/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091116,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091117,3/15/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091118,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091119,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091120,2/26/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091123,2/19/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091125,2/19/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091126,2/19/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091128,2/19/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085429,1/9/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085431,1/9/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085433,1/9/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085435,1/10/21,Clear,Dry,No Unusual Conditions,Dusk - Dawn
CR-0000085442,1/11/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085447,1/11/21,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000085436,1/10/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085450,1/12/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000085458,1/13/21,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091129,2/19/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091131,2/19/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091132,2/19/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091133,2/19/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091134,2/19/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091135,2/20/22,Clear,Dry,No Unusual Conditions,Dark - Street Light
CR-0000091136,2/20/22,Clear,Dry,No Unusual Conditions,Daylight
CR-0000091137,2/20/22,Clear,Dry,No Unusual Conditions,Daylight
